LLI Vessel Type,LLI NO,Name,Status,Flag,Net Weight,Built,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Built By,Built At,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Depth (m),Maximum Draught (m),Freeboard (m),Engine Built By,Designed By,Company contact,Company contact Country/Region,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Technical Manager,Technical Manager Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,ISM Manager,ISM Manager Country/Region,Scrubber type,Scrubber operating arrangement,Scrubber manufacturer,Scrubber installation type,IMO,MMSI,Engine Power (kW),Engine Horsepower,Engine Designation
fully cellular containership,10000623,Ji Hai Zhi Ming,Live,China,2099,2009,Unknown size,4033,Single,BPEH,3748,—,—,Unknown,100.0,—,16.40,—,7.70,4.5,3.20,—,Unknown Engine Designer,Shanghai Hai Hua Shipping Company Limited (HASCO),People's Republic of China,—,—,Shanghai International Port Group Logistics Company Limited (SIPG),People's Republic of China,Shanghai Hai Hua Shipping Company Limited (HASCO),People's Republic of China,Shanghai Hai Hua Shipping Company Limited (HASCO),People's Republic of China,Shanghai Hai Hua Shipping Company Limited (HASCO),People's Republic of China,—,—,—,—,—,—,—,—,—,—,8579045,413371030,—,—,G8300ZC16B
fully cellular containership,10001450,Ferdos II,Live,Unknown,1822,2008,Unknown size,5451,Single,—,2827,—,Zhejiang Yueqing Qiligang Ship Industry Company Limited,Yueqing,83.0,—,—,15.00,7.30,6.0,1.30,Ningbo Zhonghua,China Engine Builder,Unknown Owners,—,—,—,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,—,—,—,—,—,—,—,—,—,—,9499228,—,1765,2400,G8300CZ28B
fully cellular containership,100052,Target,Dead,Bahamas,7725,1977,"Small Feeder,  -1'TEU",18628,Double Bottom,—,13610,272,Mitsubishi Heavy Industries Limited Shipbuilding,Hiroshima,162.0,151.09,22.92,22.92,13.42,9.85,3.57,Mitsubishi Heavy Industries Limited,Sulzer Turbomachinery Services,Indian Breakers,—,Nassau,545,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7531230,—,7382,9900,6RND68
fully cellular containership,10010420,Seroja Lima,Live,Panama,47960,2011,"Neo-Panamax, 8'-12'TEU",90388,Single,3FTU,86682,2268,Mitsubishi Heavy Industries Limited Shipbuilding,Nagasaki,316.0,302.00,—,45.60,25.00,14.54,10.46,Mitsui Engineering & Shipbuilding Company Limited (Tamano),B&W Diesel A/S,Tokei Kaiun Limited (K.K.),Japan,Panama,8110,Tokei Kaiun Limited (K.K.),Japan,Tokei Kaiun Limited (K.K.),Japan,Leo Ocean S.A. (1.0%) & Tokei Kaiun Limited (99.0%),Panama,Bernhard Schulte Shipmanagement (Hong Kong) Limited Partnership,"Hong Kong, S.A.R., China",—,—,—,—,Bernhard Schulte Shipmanagement (Hong Kong) Limited Partnership,"Hong Kong, S.A.R., China",—,—,—,—,9567661,357988000,62810,72586,11K98MC-C
fully cellular containership,10010422,OOCL Durban,Live,Panama,47960,2011,"Neo-Panamax, 8'-12'TEU",90079,Single,3FFV6,87697,2269,Mitsubishi Heavy Industries Limited Shipbuilding,Nagasaki,316.0,302.00,—,45.60,25.00,14.54,10.46,Mitsui Engineering & Shipbuilding Company Limited (Tamano),B&W Diesel A/S,Nissen Kaiun Company Limited (Nissen Kaiun KK),Japan,Panama,8540,Nissen Kaiun Company Limited (Nissen Kaiun KK),Japan,Nissen Kaiun Company Limited (Nissen Kaiun KK),Japan,Sun Lanes Shipping S.A.,Japan,Synergy Maritime Private Limited,India,Orient Overseas Container Line Limited (OOCL),"Hong Kong, S.A.R., China",—,—,Synergy Maritime Private Limited,India,—,—,—,—,9567673,351109000,62810,72586,11K98MC-C
fully cellular containership,10012645,Lian He 22,Live,China,—,—,Unknown size,—,Single,BLAL9,—,—,—,"",25.0,—,6.00,—,—,2.8,—,—,Unknown Engine Designer,Unknown Owners,—,—,—,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,—,—,—,—,—,—,—,—,—,—,—,413434490,—,—,UNKNOWN
fully cellular containership,10015932,Kali Mas,Live,Indonesia,2906,2010,"Small Feeder,  -1'TEU",8100,Single,PNEW,6603,WZ-08-17,Lianyungang Wuzhou Shipbuilding Industry Company Limited,China,119.9,115.00,—,21.80,7.20,5.2,2.00,Ningbo Zhonghua,China Engine Builder,P.T. Temas Tbk (TEMAS Line),Indonesia,Jakarta,537,P.T. Temas Tbk (TEMAS Line),Indonesia,P.T. Temas Tbk (TEMAS Line),Indonesia,P.T. Temas Tbk (TEMAS Line),Indonesia,P.T. Temas Tbk (TEMAS Line),Indonesia,—,—,—,—,P.T. Temas Tbk (TEMAS Line),Indonesia,—,—,—,—,9562051,525019527,1765,2400,G8300ZC18B
fully cellular containership,10015933,Jales Mas,Live,Indonesia,3937,2010,"Small Feeder,  -1'TEU",8100,Single,PNQT,6499,WZ-08-18,Lianyungang Wuzhou Shipbuilding Industry Company Limited,Wuzhou,119.9,115.01,—,21.80,7.20,5.2,2.00,Ningbo Zhonghua,China Engine Builder,P.T. Temas Tbk (TEMAS Line),Indonesia,Jakarta,537,P.T. Temas Tbk (TEMAS Line),Indonesia,P.T. Temas Tbk (TEMAS Line),Indonesia,P.T. Temas Tbk (TEMAS Line),Indonesia,P.T. Temas Tbk (TEMAS Line),Indonesia,—,—,—,—,P.T. Temas Tbk (TEMAS Line),Indonesia,—,—,—,—,9562063,525019417,1765,2400,G8300ZC18B
fully cellular containership,100303,MSC Dominique,Dead,Panama,9373,1977,"Feeder, 1'-2'TEU",27727,Single,—,27721,—,—,France,208.0,192.00,30.50,30.50,18.19,10.9,7.29,—,Unknown Engine Designer,MSC,—,Panama,1632,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7400651,—,28337,38000,UNKNOWN
fully cellular containership,10041418,Tucapel,Live,Liberia,45480,2012,"Neo-Panamax, 8'-12'TEU",98902,Single,A8VQ3,88586,1906,Samsung Shipbuilding & Heavy Industries Company Limited,Goeje Is.,299.92,285.00,—,45.60,24.60,13.5,11.10,Doosan Engine Company Limited,B&W Diesel A/S,Bocomm Aviation Leasing Ireland Company Limited,Republic of Ireland,Monrovia,8004,Bank of Communications Company Limited,People's Republic of China,Bocomm Aviation Leasing Ireland Company Limited,Republic of Ireland,Xiang L20 Ireland International Ship Lease Company Limited,Republic of Ireland,Anglo-Eastern (Germany) GmbH,Germany,Hull 1794 Company Limited,Liberia,—,—,Anglo-Eastern (Germany) GmbH,Germany,—,—,—,—,9569970,636092784,68520,91887,7K98ME-MK7
