LLI Vessel Type,LLI NO,Name,Status,Flag,Net Weight,Built,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Built By,Built At,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Depth (m),Maximum Draught (m),Freeboard (m),Engine Built By,Designed By,Company contact,Company contact Country/Region,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Technical Manager,Technical Manager Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,ISM Manager,ISM Manager Country/Region,Scrubber type,Scrubber operating arrangement,Scrubber manufacturer,Scrubber installation type,IMO,MMSI,Engine Power (kW),Engine Horsepower,Engine Designation
passenger (cruise),10002668,Aqua,Live,Peru,—,2007,-2'gt,—,Single,—,400,—,—,"",39.80,—,7.30,—,—,2.25,—,—,—,Aqua Expeditions,Peru,Peru,—,Aqua Expeditions,Peru,Aqua Expeditions,Peru,Aqua Expeditions,Peru,Aqua Expeditions,Peru,—,—,—,—,—,—,—,—,—,—,—,—,388,520,3412
passenger (cruise),10017990,Casino Royale,Live,India,854,2008,2'-10'gt,233,Single,AUTU,2848,116,Waterways Shipyard Private Limited,Mormugao,70.00,66.65,13.42,13.42,3.75,2.01,1.74,Cummins Incorporated,Cummins Incorporated,High Street Cruises & Entertainment Private Limited,India,Panaji,—,High Street Cruises & Entertainment Private Limited,India,High Street Cruises & Entertainment Private Limited,India,High Street Cruises & Entertainment Private Limited,India,High Street Cruises & Entertainment Private Limited,India,—,—,—,—,High Street Cruises & Entertainment Private Limited,India,—,—,—,—,9507439,419076700,379,515,KTA-19
passenger (cruise),10029676,Seachaser,Live,U.S.A.,66,1981,-2'gt,—,Single,WDE6416,97,252,Camcraft Incorporated,"",—,—,—,—,—,—,—,—,Unknown Engine Designer,Unknown Owners,—,Houston,—,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,—,—,—,—,—,—,—,—,—,—,—,367380030,—,—,UNKNOWN
passenger (cruise),10037358,American Princess 2,Live,U.S.A.,64,1995,-2'gt,—,Single,WDC7054,94,405,Gulf Craft LLC,Patterson,—,—,—,—,—,—,—,—,Unknown Engine Designer,Unknown Owners,—,Newburyport,—,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,—,—,—,—,—,—,—,—,—,—,—,367065440,—,—,UNKNOWN
passenger (cruise),10051765,Fire Island Belle,Live,U.S.A.,52,2009,-2'gt,—,Single,WDE9324,131,326,Blount Marine Corporation,Warren(USA),24.41,—,—,6.09,2.13,—,—,—,Unknown Engine Designer,Fire Island Ferries Incorporated,United States of America,New York,—,Fire Island Ferries Incorporated,United States of America,Fire Island Ferries Incorporated,United States of America,Fire Island Ferries Incorporated,United States of America,Fire Island Ferries Incorporated,United States of America,—,—,—,—,—,—,—,—,—,—,9574341,—,—,—,UNKNOWN
passenger (cruise),10061270,Sri Labuan Lima,Live,Malaysia,61,2004,-2'gt,—,Single,9WEQ9,137,2381,Yong Choo Kui Shipyard Sendirian Berhad,Sibu,—,—,—,4.28,1.50,—,—,Yanmar Diesel Engine Company Limited,Yanmar Diesel Engine Company Limited,Trans-Link Sendirian Berhad,Malaysia,Kota Kinabalu,—,Trans-Link Sendirian Berhad,Malaysia,Trans-Link Sendirian Berhad,Malaysia,Trans-Link Sendirian Berhad,Malaysia,Trans-Link Sendirian Berhad,Malaysia,—,—,—,—,—,—,—,—,—,—,8993899,533000233,610,829,6AYM-ETE
passenger (cruise),101145,Nordbris,Live,Norway,165,1959,-2'gt,90,Single,JXZM,435,152,Kaldnes Mek Verkstad A/S,Tonsberg,45.00,—,8.60,—,5.40,3.20,2.20,MAN Energy Solutions SE,MAN Energy Solutions SE,Norbrise AS,Norway,—,—,Norbrise AS,Norway,Norbrise AS,Norway,Norbrise AS,Norway,Norbrise AS,Norway,—,—,—,—,—,—,—,—,—,—,5300819,—,623,835,G7V30/45ATL
passenger (cruise),101677,Serenissima,Live,Bahamas,829,1960,2'-10'gt,590,Single,C6IF6,2598,244,Aker Trondelag AS,Trondheim,87.41,79.55,13.28,13.26,7.35,4.92,2.44,K/S Burmeister & Wain I,B&W Diesel A/S,Unknown Owners,—,Nassau,—,Unknown Owners,—,Unknown Owners,—,Maritime Nine Invest Limited,Liberia,Vestland Marine Spolka Z.O.O.,Poland,—,—,—,—,Vestland Marine Spolka Z.O.O.,Poland,—,—,—,—,5142657,311006560,2573,3450,5-50VTBF-110/40
passenger (cruise),10172092,Scenic Sapphire,Live,Malta,—,2008,2'-10'gt,—,Single,9HA2277,2721,—,—,"",261.00,—,32.00,—,—,1.80,—,—,Unknown Engine Designer,Scenic Tours Europe AG,Switzerland,—,—,Scenic Tours Proprietary Limited,Australia,Scenic Tours Europe AG,Switzerland,MS Scenic Sapphire AG,Switzerland,Scenic Tours Europe AG,Switzerland,—,—,—,—,—,—,—,—,—,—,8338415,248236000,—,—,3516TA
passenger (cruise),10172889,Tuah 2,Live,Malaysia,63,2008,-2'gt,—,Single,9MGY6,168,—,P.T.Palindo,Tanjung Pinang,33.00,—,6.20,6.20,—,11.30,—,—,Unknown Engine Designer,Penaga Timur (M) Sendirian Berhad,Malaysia,Port Klang,—,Penaga Timur (M) Sendirian Berhad,Malaysia,Penaga Timur (M) Sendirian Berhad,Malaysia,Penaga Timur (M) Sendirian Berhad,Malaysia,Penaga Timur (M) Sendirian Berhad,Malaysia,—,—,—,—,—,—,—,—,—,—,9526447,533019400,—,—,D2842LE
passenger (cruise),101747,Southern Elegance,Live,Panama,691,1956,-2'gt,309,Single,3EMI5,1511,115,Aalborg Vaerft,Aalborg,70.00,—,13.00,—,5.80,3.80,2.00,—,British Polar Engines Limited,Tropical Cruise Line S.A.,United States of America,Panama,—,Tropical Cruise Line S.A.,United States of America,Tropical Cruise Line S.A.,United States of America,Tropical Cruise Line S.A.,United States of America,Tropical Cruise Line S.A.,United States of America,—,—,—,—,—,—,—,—,—,—,5136359,—,1212,1625,MN110
passenger (cruise),10188810,Prinzessin Sisi,Live,Malta,—,2000,-2'gt,—,Single,9HTT8,370,—,IHC Merwede Shipyard B.V.,Hardinxveld,109.96,—,11.40,11.40,1.50,1.50,0.00,—,Unknown Engine Designer,Unknown Owners,—,—,—,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,—,—,—,—,—,—,—,—,—,—,8643456,256417000,78,105,4BT3.9
