LLI Vessel Type,LLI NO,Name,Status,Flag,Net Weight,Built,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Built By,Built At,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Depth (m),Maximum Draught (m),Freeboard (m),Engine Built By,Designed By,Company contact,Company contact Country/Region,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Technical Manager,Technical Manager Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,ISM Manager,ISM Manager Country/Region,Scrubber type,Scrubber operating arrangement,Scrubber manufacturer,Scrubber installation type,IMO,MMSI,Engine Power (kW),Engine Horsepower,Engine Designation
roll on roll off with container capacity,100003,Tropic Isle,Live,Honduras,233,1977,-5'dwt,861,Single,HQXH2,775,482,IHI Ship & Chemical Plant Company Limited - SEE NOW AS JAPAN MARINE UNITED CORPORATION (JMU),Tokyo,71.60,68.58,14.63,14.53,4.27,3.66,0.68,General Motors Corporation,General Motors Corporation,Global Marine LLC,American Virgin Islands,Roatan Is.,62,Global Marine LLC,American Virgin Islands,Global Marine LLC,American Virgin Islands,Global Marine LLC,American Virgin Islands,Global Marine LLC,American Virgin Islands,—,—,—,—,—,—,—,—,—,—,7616638,334827000,718,1950,8-645-E6
Roll On Roll Off,100111,Grigoroussa,Dead,Panama,1931,1945,-5'dwt,1056,Single,—,2740,—,—,U.S.A.,99.00,—,15.20,—,7.70,—,—,—,Unknown Engine Designer,—,—,Panama,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7646504,—,671,900,UNKNOWN
Roll On Roll Off,100177,Theoskepasti,Dead,Greece,1386,1962,-5'dwt,986,Single,—,3749,—,—,Finland,98.00,—,18.60,—,7.00,4.60,2.40,—,Unknown Engine Designer,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,5255351,—,2461,3300,UNKNOWN
Roll On Roll Off,10024215,Ilshin Princess Royal,Live,South Korea,—,2010,5'-10'dwt,8028,Single,—,5591,SB511,Dae Sun Shipbuilding & Engineering Company Limited,Busan,120.00,111.00,—,26.00,12.75,6.01,6.74,STX Engine Company Limited,Alpha Diesels A/S,Ilshin Logistics Company Limited,Republic of Korea,Pohang,—,Ilshin Enterprise Company,Republic of Korea,Ilshin Logistics Company Limited,Republic of Korea,Ilshin Merchant Marine Company Limited,Republic of Korea,Ilshin Marine Transport Company Limited,Republic of Korea,—,—,—,—,Ilshin Marine Transport Company Limited,Republic of Korea,—,—,—,—,9496862,440146980,5200,3535,6L28/32
roll on roll off with container capacity,10025,Anna Marine,Dead,Moldova,3864,1975,-5'dwt,4377,Single,—,12879,756,J.J. Sietas Shipbuilding GmbH & Company KG,Hamburg,156.49,144.20,19.42,19.00,12.00,5.30,6.70,Deutz AG,Deutz AG,Northern M.M.,—,Giurgiulesti,52,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7361582,—,4474,6000,SBV12M540
roll on roll off with container capacity,100261,FESCO Gavriil,Dead,Marshall Islands,2540,1976,-5'dwt,4600,Single,—,8467,823,Severney Verf Shipbuilding (Northern Shipyard),St. Petersburg,139.63,127.70,19.24,19.20,13.10,6.62,6.48,Bryansk Engineering Work,B&W Diesel A/S,Fesco W.,—,Majuro,253,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7642493,—,4549,6100,5K62EF
Roll On Roll Off,10036156,Vanuatu Islander,Live,Vanuatu,343,2009,-5'dwt,1499,Single,YJS7404,1142,2647/BA,P.T. Dok & Perkapalan Kodja Bahari,Jakarta,64.00,59.20,14.00,14.00,4.50,3.00,1.51,Caterpillar Incorporated,Caterpillar Incorporated,Vanuatu Ferry Limited,Vanuatu,Port Vila,—,Vanuatu Ferry Limited,Vanuatu,Vanuatu Ferry Limited,Vanuatu,Vanuatu Ferry Limited,Vanuatu,Vanuatu Ferry Limited,Vanuatu,—,—,—,—,—,—,—,—,—,—,9553268,576028000,553,750,3412D
roll on roll off with container capacity,100446,Santa Rita,Live,Mexico,1683,1977,-5'dwt,2700,Single,—,5610,237,ACH - Construction Navale,Le Havre,109.77,98.82,17.50,17.50,11.10,5.25,5.85,Mak Motoren GmbH & Company KG,Mak Motoren GmbH & Company KG,Transportacion Maritima de California S.A. de C.V.,Mexico,La Paz,130,Transportacion Maritima de California S.A. de C.V.,Mexico,Transportacion Maritima de California S.A. de C.V.,Mexico,Transportacion Maritima de California S.A. de C.V.,Mexico,Transportacion Maritima de California S.A. de C.V.,Mexico,—,—,—,—,—,—,—,—,—,—,7500712,—,2461,3300,9M453AK
Roll On Roll Off,10044687,Marjan-E-Kish 1,Live,Iran,748,2010,-5'dwt,2859,Single,EPAI2,1904,852,Shahid Darvishi Marine Industries,Bandar Abbas,80.00,76.70,—,17.50,4.75,3.25,1.50,—,Unknown Engine Designer,Jonoub Trading group of companies,Iran,Bandar Abbas,—,Jonoub Trading group of companies,Iran,Jonoub Trading group of companies,Iran,Jonoub Trading group of companies,Iran,Jonoub Trading group of companies,Iran,—,—,—,—,—,—,—,—,—,—,9561045,422891000,—,—,6MG34HX
Roll On Roll Off,100471,Rio Campo,Live,Panama,517,1970,-5'dwt,1040,Single,HP9440,1723,112,Astilleros Construcciones S.A.,Vigo,76.51,70.01,11.82,11.82,7.22,3.76,3.46,Deutz MWM AG,Deutz MWM AG,Melmar Navigation Company S.A.,Equatorial Guinea,Panama,—,Melmar Navigation Company S.A.,Equatorial Guinea,Melmar Navigation Company S.A.,Equatorial Guinea,Melmar Navigation Company S.A.,Equatorial Guinea,Melmar Navigation Company S.A.,Equatorial Guinea,—,—,—,—,—,—,—,—,—,—,7023427,357027000,1790,2400,TBD500-6
