LLI Vessel Type,LLI NO,Name,Status,Flag,Net Weight,Built,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Built By,Built At,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Depth (m),Maximum Draught (m),Freeboard (m),Engine Built By,Designed By,Company contact,Company contact Country/Region,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Technical Manager,Technical Manager Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,ISM Manager,ISM Manager Country/Region,Scrubber type,Scrubber operating arrangement,Scrubber manufacturer,Scrubber installation type,IMO,MMSI,Engine Power (kW),Engine Horsepower,Engine Designation
vehicle carrier,10001259,Dione Leader,Live,Japan,18878,2013,50'+ gt,21111,Single,7KPJ,62927,5662,Shin Kurushima Dockyard Company Limited,Onishi,199.94,190.00,—,32.26,24.12,10.33,24.70,Kobe Diesel Company Limited,B&W Diesel A/S,Nippon Yusen Kabushiki Kaisha (NYK Line) (Nippon Yusen Kaisha),Japan,Tokyo,—,Nippon Yusen Kabushiki Kaisha (NYK Line) (Nippon Yusen Kaisha),Japan,Nippon Yusen Kabushiki Kaisha (NYK Line) (Nippon Yusen Kaisha),Japan,Urushi Ship Holding LLC,Japan,Hachiuma Steamship Company Limited (Hachiuma Kisen KK),Japan,—,—,—,—,Hachiuma Steamship Company Limited (Hachiuma Kisen KK),Japan,—,—,—,—,9561954,431172000,15540,18283,7S60MC-C
vehicle carrier,10001327,Glorious Ace,Live,Cayman Islands,18159,2010,50'+ gt,18836,Single,ZGAL,58939,710,Minami-Nippon Shipbuilding Company Limited,Usuki,199.95,190.00,—,32.20,21.19,9.82,24.38,Mitsui Engineering & Shipbuilding Company Limited,B&W Diesel A/S,Meiji Shipping Company Limited,Japan,George Town,—,Meiji Shipping Group,Japan,Meiji Shipping Company Limited,Japan,Esteem Maritime S.A.,Panama,MMS Company Limited,Japan,—,—,—,—,MMS Company Limited,Japan,—,—,—,—,9561277,319409000,15130,18283,7S60MC-C
vehicle carrier,10001328,Elegant Ace,Live,Panama,18159,2010,50'+ gt,18833,Single,3E3535,58939,709,Minami-Nippon Shipbuilding Company Limited,Usuki,199.95,190.00,—,32.20,21.19,9.82,24.78,Mitsui Engineering & Shipbuilding Company Limited (Tamano),B&W Diesel A/S,MOL Auto Logistics (India) Private Limited,India,Panama,—,Mitsui O.S.K. Lines Limited (MOL),Japan,MOL Auto Logistics (India) Private Limited,India,Polar Express S.A.,Panama,MOL Ship Management (Singapore) Private Limited,Republic of Singapore,—,—,—,—,MOL Ship Management (Singapore) Private Limited,Republic of Singapore,—,—,—,—,9561265,352980796,15130,18283,7S60MC-C
vehicle carrier,10001330,Tranquil Ace,Live,Panama,18159,2009,50'+ gt,18840,Single,H3XK,58939,708,Minami-Nippon Shipbuilding Company Limited,Usuki,199.95,190.00,—,32.20,21.19,9.82,11.37,Mitsui Engineering & Shipbuilding Company Limited (Tamano),B&W Diesel A/S,Masumoto Shipping Company Limited,Japan,Panama,—,Masumoto Shipping Company Limited,Japan,Masumoto Shipping Company Limited,Japan,Prosper World Marine Company Limited,Liberia,Masumoto Shipping Company Limited,Japan,—,—,—,—,Masumoto Shipping Company Limited,Japan,—,—,—,—,9561253,353943000,15130,18283,7S60MC-C
vehicle carrier,100031,Eastern Highway,Dead,Liberia,8519,1977,-30'gt,7305,Single,—,16588,361,Tsuneishi Shipbuilding Company Limited,Hiroshima,152.00,145.00,23.10,23.10,12.18,7.62,4.56,Mitsui Engineering & Shipbuilding Company Limited,B&W Diesel A/S,Chinese Breakers,—,Monrovia,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7627261,—,8352,11200,6K67GF
vehicle carrier,100425,Carib Sun,Dead,Bahamas,2976,1977,-30'gt,2175,Single,—,4343,—,—,Spain,88.00,80.02,15.96,15.96,14.15,5.20,8.95,—,Unknown Engine Designer,Joint Vessels,—,Nassau,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7409114,—,2237,3000,UNKNOWN
vehicle carrier,10096513,Chesapeake Highway,Live,Panama,17561,2010,50'+ gt,21643,Single,3FPH4,58535,NE077,Nantong COSCO KHI Ship Engineering Company Limited (NACKS),Nantong,199.90,190.00,—,32.26,23.75,10.02,24.33,Kawasaki Heavy Industries Limited (Tokyo),Unknown Engine Designer,'K' Line RoRo Bulk Ship Management Company Limited,Japan,Panama,—,Kawasaki Kisen Kaisha Limited (Kawasaki Kisen KK) ('K' Line),Japan,'K' Line RoRo Bulk Ship Management Company Limited,Japan,KAW 1652 Shipping S.A.,Panama,'K' Line RoRo Bulk Ship Management Company Limited,Japan,—,—,—,—,'K' Line RoRo Bulk Ship Management Company Limited,Japan,—,—,—,—,9565546,351733000,13200,17701,6S60MC-C
vehicle carrier,10096514,Cape Town Highway,Live,Panama,17561,2011,50'+ gt,21676,Single,3FOK4,58535,NE078,Nantong COSCO KHI Ship Engineering Company Limited (NACKS),Nantong,199.90,190.00,—,32.26,23.75,10.02,24.33,Kawasaki Heavy Industries Limited Shipbuilding Division,Unknown Engine Designer,'K' Line RoRo Bulk Ship Management Company Limited,Japan,Panama,—,Kawasaki Kisen Kaisha Limited (Kawasaki Kisen KK) ('K' Line),Japan,'K' Line RoRo Bulk Ship Management Company Limited,Japan,KAW1653 Shipping SA,Panama,'K' Line RoRo Bulk Ship Management Company Limited,Japan,—,—,—,—,'K' Line RoRo Bulk Ship Management Company Limited,Japan,—,—,—,—,9565558,372031000,13200,17701,6S60MC-C
vehicle carrier,10096515,Dalian Highway,Live,Panama,17561,2011,50'+ gt,21616,Single,3FYE5,58535,NE079,Nantong COSCO KHI Ship Engineering Company Limited (NACKS),Nantong,199.90,190.00,—,32.26,23.75,10.02,24.33,Kawasaki Heavy Industries Limited Shipbuilding Division,Unknown Engine Designer,Tokyo Century Corporation,Japan,Panama,—,Tokyo Century Corporation,Japan,Tokyo Century Corporation,Japan,Rockfish Marine S.A.,Panama,'K' Line RoRo Bulk Ship Management Company Limited,Japan,—,—,—,—,'K' Line RoRo Bulk Ship Management Company Limited,Japan,—,—,—,—,9565560,357694000,13200,17701,6S60MC-C
vehicle carrier,101373,Fresa,Dead,Philippines,7430,1977,-30'gt,13515,Single,—,12304,—,—,Japan,176.00,166.00,32.00,32.00,12.48,9.03,3.45,—,Unknown Engine Designer,Teihcson,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7627493,—,12528,16800,UNKNOWN
