Name,LLI Vessel Type,Built At,Built By,LLI NO,Status,Flag,Net Weight,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Maximum Draught (m),Freeboard (m),Designed By,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,IMO,MMSI,Depth (m),Built,Scrubber installation type,Scrubber manufacturer,Scrubber operating arrangement,Scrubber type,Engine Built By,Engine Power (kW),Engine Horsepower,Engine Designation,P & I Club,Class 1,Class 2,Class 3,Last docking survey date,Last intermediate survey date,Last special survey date,Last tailshaft survey date,Next Docking Survey Date,Next Special Survey Date,ISM Manager,ISM Manager Country/Region,Technical Manager,Technical Manager Country/Region,AIS Destination,Matched Destination,Latest AIS message type,Latest AIS message timestamp,AIS ETA,Company contact,Company contact Country/Region,Lat,Lng
Zhong Chang Qi Sheng,bulk carrier,Zhoushan,Yangfan Group Company Limited,10001160,Live,China,19142,"Supramax, 50'-60'dwt",56842,Single,BRVC,32964,H2156,189.99,185.00,-,32.26,11.30,6.70,B&W Diesel A/S,Zhoushan,-,Aviation Industry Corporation of China,People's Republic of China,AVIC International Leasing Company Limited,People's Republic of China,Niuhang Finance Leasing (Haikou) Company Limited (New Shipping Leasing Company Limited),People's Republic of China,-,-,-,-,9566942,412842000,18.00,2011,-,-,-,-,Hudong Heavy Machinery Company Limited,9480,12713,6S50MC-C,Assuranceforeningen Skuld,China Classification,-,-,-,-,2016-05-29T00:00:00,-,2026-07-07T00:00:00,2026-07-07T00:00:00,Tosco Keymax International Ship Management Company Limited,People's Republic of China,Tosco Keymax International Ship Management Company Limited,People's Republic of China,SINGAPORE,Singapore,A,25 May 2026 05:32:36 GMT,16 Jun 2026 14:00:00 GMT,AVIC International Leasing Company Limited,People's Republic of China,"36° 7' 7"" S","5° 20' 54"" E"
Zhongchang Hongsheng,bulk carrier,Zhoushan,Yangfan Group Company Limited,10001161,Live,China,19142,"Supramax, 50'-60'dwt",56826,Single,BRVA,32964,H2152,189.99,185.00,-,32.26,11.30,6.70,B&W Diesel A/S,Tianjin,-,China Cinda Asset Management Company Limited,People's Republic of China,Cinda Financial Leasing Company Limited,People's Republic of China,Xinhai No 1 (Tianjin) Ship Leasing Company Limited,People's Republic of China,Daishan Zhong Chang Marine Company Limited,People's Republic of China,-,-,9566928,412606000,18.00,2011,-,-,-,-,Hudong Heavy Machinery Company Limited,9480,12713,6S50MC-C,Assuranceforeningen Skuld,China Classification,-,-,-,-,2016-03-30T00:00:00,-,-,-,Tosco Keymax International Ship Management Company Limited,People's Republic of China,Tosco Keymax International Ship Management Company Limited,People's Republic of China,LUOJING,-,A,25 May 2026 05:40:36 GMT,22 May 2026 11:00:00 GMT,Cinda Financial Leasing Company Limited,People's Republic of China,"31° 29' 51"" N","121° 22' 52"" E"
Thassos,bulk carrier,Zhoushan,Yangfan Group Company Limited,10001162,Live,Malta,19142,"Supramax, 50'-60'dwt",56760,Single,9HA4153,32964,H2161,189.99,185.00,-,32.26,11.30,5.22,B&W Diesel A/S,Valletta,-,Greatwaters Agency Limited,Liberia,Greatwaters Agency Limited,Liberia,Seaman Maritime Limited,Malta,-,-,-,-,9567233,249219000,18.00,2011,-,-,-,-,Hudong Heavy Machinery Company Limited,9480,12713,6S50MC-C,NorthStandard,RI (provisional), (provisional), (provisional),-,-,2016-08-23T00:00:00,-,2026-08-18T00:00:00,2026-08-18T00:00:00,Seaman Maritime Limited,Malta,Seaman Maritime Limited,Malta,PEUNAGA INDO,-,A,25 May 2026 05:34:34 GMT,19 May 2026 14:00:00 GMT,Greatwaters Agency Limited,Liberia,"3° 58' 59"" N","96° 7' 16"" E"
Bi Xun,bulk carrier,Zhoushan,Yangfan Group Company Limited,10001163,Live,China,19142,"Supramax, 50'-60'dwt",56800,Single,BHPK,32964,2153,189.99,185.00,-,32.26,11.30,6.70,B&W Diesel A/S,Taizhou,-,Unknown Owners,-,Unknown Owners,-,Zhejiang Changpeng Shipping Company Limited,People's Republic of China,-,-,-,-,9566930,412128000,18.00,2011,-,-,-,-,Hudong Heavy Machinery Company Limited,9480,12713,6S50MC-C,-,China Classification,-,-,-,-,2016-06-03T00:00:00,-,-,-,Shanghai Yongzhixin Maritime Technology Company Limited,People's Republic of China,Zhejiang Changpeng Shipping Company Limited,People's Republic of China,SINGAPORE,Singapore,A,25 May 2026 05:41:53 GMT,31 May 2026 06:00:00 GMT,Unknown Owners,-,"24° 44' 28"" N","119° 21' 2"" E"
Knossos,bulk carrier,Zhoushan,Yangfan Group Company Limited,10001164,Live,Malta,19142,"Supramax, 50'-60'dwt",56763,Single,9HA4152,32964,2162,189.99,185.00,-,32.26,11.30,6.70,B&W Diesel A/S,Valletta,-,Energy Carriage and Distribution Corporate,Liberia,Energy Carriage and Distribution Corporate,Liberia,Seascape Limited,Malta,Prominence Maritime S.A,Greece,-,-,9567544,249217000,18.00,2011,-,-,-,-,Hudong Heavy Machinery Company Limited,9480,12713,6S50MC-C,NorthStandard,China Classification,-,-,-,-,2016-08-11T00:00:00,-,2026-09-27T00:00:00,2026-09-27T00:00:00,Seascape Limited,Malta,Seascape Limited,Malta,ID MPN,-,A,25 May 2026 05:32:07 GMT,24 May 2026 16:01:00 GMT,Energy Carriage and Distribution Corporate,Liberia,"1° 57' 41"" N","118° 9' 27"" E"
Skatzoura,bulk carrier,Zhoushan,Yangfan Group Company Limited,10001165,Live,Malta,19142,"Supramax, 50'-60'dwt",56795,Single,9HA4141,32964,H2160,189.99,185.00,-,32.26,11.30,5.22,B&W Diesel A/S,Valletta,-,Prokopiou Family,Greece,Sea Traders S.A.,Greece,Seafront Maritime Limited,Malta,-,-,-,-,9566954,249183000,18.00,2011,-,-,-,-,Hudong Heavy Machinery Company Limited,9480,12713,6S50MC-C,NorthStandard,RINA Services S.p.A.,-,-,-,-,2016-05-10T00:00:00,-,2026-06-01T00:00:00,2026-06-01T00:00:00,Seafront Maritime Limited,Malta,Seafront Maritime Limited,Malta,YOSO S.KOREA,Phu My,A,25 May 2026 04:49:42 GMT,15 Jun 2026 12:00:00 GMT,Sea Traders S.A.,Greece,"49° 33' 33"" N","128° 8' 40"" W"
Limnos,bulk carrier,Zhoushan,Yangfan Group Company Limited,10001167,Live,Malta,19142,"Supramax, 50'-60'dwt",56671,Single,9HA4151,32858,2150,189.99,185.00,-,32.26,11.30,6.70,B&W Diesel A/S,Valletta,-,Prokopiou Family,Greece,Sea Traders S.A.,Greece,Seacoast Limited,Malta,-,-,-,-,9566552,249216000,18.00,2010,-,-,-,-,Hudong Heavy Machinery Company Limited,9480,12713,6S50MC-C,NorthStandard,China Classification,-,-,-,-,2016-01-15T00:00:00,-,-,-,Seacoast Limited,Malta,Sea Thrust Ltd,Greece,VN PHU,-,A,25 May 2026 05:42:25 GMT,24 May 2026 17:01:00 GMT,Sea Traders S.A.,Greece,"10° 33' 39"" N","107° 0' 54"" E"
Alonissos,bulk carrier,Zhoushan,Yangfan Group Company Limited,10001168,Live,Malta,19142,"Supramax, 50'-60'dwt",56648,Single,9HA4145,32858,2151,189.99,185.00,-,32.26,11.30,6.70,B&W Diesel A/S,Valletta,-,Prokopiou Family,Greece,Sea Traders S.A.,Greece,Searobin Limited,Malta,-,-,-,-,9566916,249194000,18.00,2010,-,-,-,-,Hudong Heavy Machinery Company Limited,9480,12713,6S50MC-C,"Britannia Steam Ship Insurance Association Ltd., The",China Classification,-,-,-,-,2015-12-04T00:00:00,-,2030-12-05T00:00:00,2030-12-05T00:00:00,Searobin Limited,Malta,Delos Navigation Limited,Greece,PARADIP,Paradip Port,A,25 May 2026 05:25:07 GMT,06 Jun 2026 10:30:00 GMT,Sea Traders S.A.,Greece,"29° 46' 53"" S","39° 47' 41"" E"
Cape Iris,bulk carrier,Saijo,Imabari Shipbuilding Company Limited (Saijo),10001169,Live,Liberia,60504,"Capesize, 100'-200'dwt",181403,Single,D5DE6,92758,8138,291.98,283.80,-,45.00,18.24,6.46,B&W Diesel A/S,Monrovia,6350,Seno Kisen K.K. (Seno Kisen Company Limited),Japan,Seno Kisen K.K. (Seno Kisen Company Limited),Japan,Seno Kisen Company Limited (95%) & Erica Navigation S.A. (5%),Panama,-,-,-,-,9563689,636015857,24.70,2012,-,-,-,-,-,18660,72714,11K98MC,Japan Shipowners Mutual Protection & Indemnity Association,Nippon Kaiji Kyokai,-,-,2018-08-08T00:00:00,-,2016-10-14T00:00:00,-,2026-06-16T00:00:00,2026-06-16T00:00:00,Toyo Sangyo Company Limited (Toyo Sangyo KK),Japan,Toyo Sangyo Company Limited (Toyo Sangyo KK),Japan,AU DAM,Dampier,A,25 May 2026 05:42:13 GMT,02 Jun 2026 06:00:00 GMT,Seno Kisen K.K. (Seno Kisen Company Limited),Japan,"17° 58' 52"" N","120° 12' 48"" E"
Dhun,wood-chip carrier,Oshima,Oshima Shipbuilding Company Limited,10001332,Live,Japan,34600,"Capesize, 100'-200'dwt",107296,Single,7KQB,58627,10645,254.99,249.62,-,43.00,13.60,5.79,Mitsubishi Heavy Industries Limited,-,-,Kawasaki Kisen Kaisha Limited (Kawasaki Kisen KK) ('K' Line),Japan,Kawasaki Kisen Kaisha Limited (Kawasaki Kisen KK) ('K' Line),Japan,Kawasaki Kisen Kaisha Limited (Kawasaki Kisen KK) ('K' Line),Japan,OSC10645 Shipping SA,Panama,-,-,9561552,431280000,19.39,2013,-,-,-,-,Kawasaki Heavy Industries Limited Shipbuilding Division,11547,12782,7UEC50LSII,Assuranceforeningen Gard,Nippon Kaiji Kyokai,-,-,2018-10-10T00:00:00,-,2018-10-10T00:00:00,-,2029-06-06T00:00:00,2029-06-06T00:00:00,'K' Line RoRo Bulk Ship Management Company Limited,Japan,'K' Line RoRo Bulk Ship Management Company Limited,Japan,-,-,A,25 May 2026 05:43:06 GMT,-,Kawasaki Kisen Kaisha Limited (Kawasaki Kisen KK) ('K' Line),Japan,"23° 49' 24"" S","151° 14' 46"" E"
