Name,LLI Vessel Type,Built At,Built By,LLI NO,Status,Flag,Net Weight,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Maximum Draught (m),Freeboard (m),Designed By,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,IMO,MMSI,Depth (m),Built,Scrubber installation type,Scrubber manufacturer,Scrubber operating arrangement,Scrubber type,Engine Built By,Engine Power (kW),Engine Horsepower,Engine Designation,P & I Club,Class 1,Class 2,Class 3,Last docking survey date,Last intermediate survey date,Last special survey date,Last tailshaft survey date,Next Docking Survey Date,Next Special Survey Date,ISM Manager,ISM Manager Country/Region,Technical Manager,Technical Manager Country/Region,AIS Destination,Matched Destination,Latest AIS message type,Latest AIS message timestamp,AIS ETA,Company contact,Company contact Country/Region,Lat,Lng
Charles Drew,reefer,San Diego,National Steel & Shipbuilding Company (NASSCO),10001372,Live,U.S.A.,13127,10'+ dwt,19637,Single,NDRE,43758,480,210.00,199.55,-,32.20,9.12,9.43,MAN Energy Solutions SE,-,-,Government of the United States of America,United States of America,United States Govt Military Sealift Command,United States of America,United States Govt Military Sealift Command,United States of America,-,-,-,-,9508287,369970428,18.55,2010,-,-,-,-,-,40800,27736,9L48/60,-,American Bureau,-,-,2020-05-08T00:00:00,2018-05-11T00:00:00,2020-05-08T00:00:00,2020-05-08T00:00:00,2030-07-13T00:00:00,2030-07-13T00:00:00,-,-,United States Govt Military Sealift Command,United States of America,-,-,A,19 May 2026 01:06:48 GMT,-,United States Govt Military Sealift Command,United States of America,"33° 6' 6"" N","129° 42' 58"" E"
Pacific Kim,reefer,Shimizu,Miho Shipbuilding Company Limited,100107,Live,South Korea,824,2'-6'dwt,2000,Single,HLHZ,1358,340,80.00,-,12.80,-,5.00,0.70,Unknown Engine Designer,-,-,Shin Yang Shipping Company Limited,Republic of Korea,Shin Yang Shipping Company Limited,Republic of Korea,Shin Yang Shipping Company Limited,Republic of Korea,-,-,-,-,5344047,-,5.70,1962,-,-,-,-,-,1641,2200,A34,-,-,-,-,-,-,-,-,-,-,-,-,Shin Yang Shipping Company Limited,Republic of Korea,-,-,-,-,-,Shin Yang Shipping Company Limited,Republic of Korea,-,-
Khair III,reefer,Russia,-,100220,Live,Honduras,237,-2'dwt,520,Single,-,399,813,55.00,-,9.50,-,4.30,0.90,SKL Motoren-und Systemtechnik GmbH,San Lorenzo,-,Khaled Ali Fouda,Arab Republic of Egypt,Khaled Ali Fouda,Arab Republic of Egypt,Egyptian Shipping Transport S.A.,Panama,-,-,-,-,7630074,-,5.20,1976,-,-,-,-,SKL Motoren-und Systemtechnik GmbH,596,799,6NVD48A-2U,-,-,-,-,-,-,-,-,-,-,-,-,Khaled Ali Fouda,Arab Republic of Egypt,-,-,-,-,-,Khaled Ali Fouda,Arab Republic of Egypt,-,-
Montelaura,reefer,Capelle aan den Yssel,YVC Ysselwerf B.V.,102641,Live,Panama,1395,2'-6'dwt,3429,Single,3FRF5,2695,168,96.45,90.40,13.76,13.76,5.12,2.58,Mak Motoren GmbH & Company KG,Panama,-,Luis Calvo Sanz S.A.,Spain,Grupo Calvo,Spain,Gestra Corporation S.A.,Spain,-,-,-,-,7625500,355855000,7.70,1977,-,-,-,-,Mak Motoren GmbH & Company KG,2088,2800,8M453,-,-,-,-,2024-03-15T00:00:00,-,2021-08-11T00:00:00,-,-,-,Gestra Corporation S.A.,Spain,Grupo Calvo,Spain,GUAYAQUIL,Guayaquil,A,20 Nov 2025 12:36:30 GMT,19 Nov 2025 13:05:00 GMT,Grupo Calvo,Spain,"2° 11' 34"" S","79° 50' 22"" W"
Dago,reefer,Zelenodolsk,Zelenodolsk Shipyard,104000,Live,Russia,245,-2'dwt,353,Single,UFBS,819,918,55.00,-,9.50,-,3.10,1.40,Unknown Engine Designer,-,-,Anoosel Joint Stock Company,Republic of Estonia,Anoosel Joint Stock Company,Republic of Estonia,Anoosel Joint Stock Company,Republic of Estonia,-,-,-,-,6900252,-,4.50,1966,-,-,-,-,-,336,450,6NVD48A-2U,-,-,-,-,-,-,1997-05-01T00:00:00,-,-,-,-,-,Anoosel Joint Stock Company,Republic of Estonia,-,-,-,-,-,Anoosel Joint Stock Company,Republic of Estonia,-,-
Han Xing,reefer,China,-,10561468,Live,Panama,978,2'-6'dwt,2300,Single,3FYT4,1998,CJM0904,82.65,-,-,13.00,5.60,1.00,Unknown Engine Designer,Panama,-,Shun Xin Shipping Hongkong Company,"Hong Kong, S.A.R., China",Shun Xin Shipping Hongkong Company,"Hong Kong, S.A.R., China",Shao Jun Han,Sierra Leone,Shun Xin Shipping Hongkong Company,"Hong Kong, S.A.R., China",-,-,9586332,374173000,6.60,2010,-,-,-,-,-,2127,2853,6L35MC,MS Amlin,-,-,-,-,-,-,-,-,-,-,-,-,-,MILUYUCHANG,-,A,22 Apr 2026 01:17:28 GMT,23 Nov 2026 12:00:00 GMT,Shun Xin Shipping Hongkong Company,"Hong Kong, S.A.R., China","29° 59' 26"" N","122° 8' 30"" E"
Myong Chon,reefer,Japan,-,10614079,Live,North Korea,-,-2'dwt,236,Single,HMYQ9,235,-,-,-,-,-,-,-,Unknown Engine Designer,Wonsan,-,"Korea,Government of the Democratic People's Republic of",Democratic People's Republic of Korea,Korea Samjiyon Trading Corporation,Democratic People's Republic of Korea,Korea Samjiyon Trading Corporation,Democratic People's Republic of Korea,-,-,-,-,8004428,-,-,1980,-,-,-,-,-,318,427,6MG25BX,-,-,-,-,-,-,-,-,-,-,-,-,Korea Samjiyon Trading Corporation,Democratic People's Republic of Korea,-,-,-,-,-,Korea Samjiyon Trading Corporation,Democratic People's Republic of Korea,-,-
Bao Lucky,reefer,China,Zhoushan Haitian Ship Engineering Company Limited,10620684,Live,Panama,3948,6'-10'dwt,7376,Single,3FBE9,7939,LJX4268,123.00,114.00,-,20.80,7.21,2.59,Yanmar Diesel Engine Company Limited,Panama,632,-,-,-,-,Bao Fortune Shipmanagement Company Limited,People's Republic of China,-,-,-,-,9602837,354458000,9.80,2012,-,-,-,-,Qingdao Zichai Boyang Diesel Engine Company Limited,3310,9710,8N330-EN,London Steamship Owners Mutual Insurance Association Ltd,Korean Register,Overseas Marine Certification Services,-,-,-,-,-,2026-12-22T00:00:00,2026-12-22T00:00:00,-,-,-,-,TH BKK,Bangkok,A,25 May 2026 05:49:57 GMT,26 May 2026 10:00:00 GMT,Bao Fortune Shipmanagement Company Limited,People's Republic of China,"10° 20' 20"" N","102° 16' 9"" E"
Canopus,reefer,Busum,Buesumer Werft GmbH,106315,Live,Russia,942,2'-6'dwt,2187,Double Bottom,UCTB,1727,267,78.10,70.80,12.50,12.00,5.75,1.75,Mak Motoren GmbH & Company KG,Murmansk,-,OOO Arktik Shipping (Arctic Shipping LLC),Russian Federation,OOO Arktik Shipping (Arctic Shipping LLC),Russian Federation,OOO Arktik Shipping (Arctic Shipping LLC),Russian Federation,-,-,-,-,7700087,273317810,7.50,1977,-,-,-,-,Mak Motoren GmbH & Company KG,1655,2250,6MU453AK,-,Russian Register of Ships,-,-,-,-,2018-02-07T00:00:00,-,-,-,OOO Arktik Shipping (Arctic Shipping LLC),Russian Federation,OOO Arktik Shipping (Arctic Shipping LLC),Russian Federation,RU MMK,-,A,21 Apr 2026 12:47:52 GMT,31 Dec 2026 17:00:00 GMT,OOO Arktik Shipping (Arctic Shipping LLC),Russian Federation,"68° 59' 55"" N","33° 3' 19"" E"
Jazeera Reefer,reefer,Bilbao,Maritima de Axpe S.A.,106620,Live,Maldives,808,2'-6'dwt,2890,Single,8QLW,2481,101,97.00,89.49,13.61,13.61,4.90,2.42,Deutz AG,-,-,NCA Marine Consultants Company Limited,Thailand,NCA Marine Consultants Company Limited,Thailand,Century Reefer Company Limited,Thailand,-,-,-,-,7635878,455446000,7.32,1978,-,-,-,-,Deutz AG,1939,2600,SBV8M358,-,-,-,-,-,-,2004-09-01T00:00:00,-,-,-,-,-,NCA Marine Consultants Company Limited,Thailand,-,-,A,25 May 2026 03:43:38 GMT,-,NCA Marine Consultants Company Limited,Thailand,"0° 44' 17"" N","73° 25' 46"" E"
Praia Fortuna,reefer,Khabarovsk,Joint Stock Company Khabarovsk Shipbuilding Yard,107760,Live,Unknown,237,-2'dwt,520,Single,-,671,814,55.00,-,9.50,-,4.30,0.90,SKL Motoren-und Systemtechnik GmbH,-,-,Unknown Owners,-,Unknown Owners,-,Unknown Owners,-,-,-,-,-,7630206,-,5.20,1976,-,-,-,-,SKL Motoren-und Systemtechnik GmbH,596,799,6NVD48A-2U,-,-,-,-,-,-,-,-,-,-,-,-,Unknown Owners,-,-,-,-,-,-,Unknown Owners,-,-,-
Arka 34,reefer,Niigata,Niigata Shipbuilding & Repair Incorporated,10942589,Live,Russia,181,-2'dwt,486,Single,UBJP9,604,N-2158,56.04,-,9.00,8.90,3.69,0.16,Unknown Engine Designer,Vladivostok,-,Unknown Owners,-,Unknown Owners,-,Unknown Owners,-,-,-,-,-,8909862,273397030,3.85,1989,-,-,-,-,-,1030,987,6M28BFT,MS Amlin,Global Marine Bureau,Russian Register of Ships,-,-,-,-,-,-,-,-,-,Unknown Owners,-,RU VVO,-,A,25 May 2026 05:47:05 GMT,25 May 2026 08:00:00 GMT,Unknown Owners,-,"43° 4' 30"" N","131° 58' 42"" E"
Cape Grieg,reefer,Maryland,Lancaster Iron Works Incorporated,10954304,Live,U.S.A.,-,Unknown size,-,Single,WDM3926,1134,-,58.00,-,10.00,-,12.00,-,Unknown Engine Designer,-,-,Unknown Owners,-,Unknown Owners,-,Unknown Owners,-,-,-,-,-,8856613,367445470,-,1945,-,-,-,-,-,1287,1726,RBV8M545,-,-,-,-,-,-,-,-,-,-,-,-,Unknown Owners,-,-,-,A,19 Mar 2026 17:42:55 GMT,-,Unknown Owners,-,"47° 39' 34"" N","122° 22' 48"" W"
Genta Maru,reefer,Uwajima,Kurinoura Dockyard K.K.,10997482,Live,Japan,1700,2'-6'dwt,4218,Single,7KQP,3998,421,99.06,-,-,16.80,6.61,3.29,Unknown Engine Designer,-,-,Toei Reefer Line Limited,Japan,Toei Reefer Line Limited,Japan,Toei Reefer Line Limited,Japan,-,-,-,-,9620384,431544000,9.90,2011,-,-,-,-,Makita Corporation,2998,5281,6L35MC,Japan Shipowners Mutual Protection & Indemnity Association,Nippon Kaiji Kyokai,-,-,2019-08-20T00:00:00,-,2016-09-10T00:00:00,-,2030-04-30T00:00:00,2030-04-30T00:00:00,Toei Reefer Line Limited,Japan,Toei Reefer Line Limited,Japan,-,-,A,25 May 2026 05:50:40 GMT,-,Toei Reefer Line Limited,Japan,"35° 4' 4"" N","129° 0' 29"" E"
