Name,LLI Vessel Type,Built At,Built By,LLI NO,Status,Flag,Net Weight,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Maximum Draught (m),Freeboard (m),Designed By,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,IMO,MMSI,Depth (m),Built,Scrubber installation type,Scrubber manufacturer,Scrubber operating arrangement,Scrubber type,Engine Built By,Engine Power (kW),Engine Horsepower,Engine Designation,P & I Club,Class 1,Class 2,Class 3,Last docking survey date,Last intermediate survey date,Last special survey date,Last tailshaft survey date,Next Docking Survey Date,Next Special Survey Date,ISM Manager,ISM Manager Country/Region,Technical Manager,Technical Manager Country/Region,AIS Destination,Matched Destination,Latest AIS message type,Latest AIS message timestamp,AIS ETA,Company contact,Company contact Country/Region,Lat,Lng
Tropic Isle,roll on roll off with container capacity,Tokyo,IHI Ship & Chemical Plant Company Limited - SEE NOW AS JAPAN MARINE UNITED CORPORATION (JMU),100003,Live,Honduras,233,-5'dwt,861,Single,HQXH2,775,482,71.60,68.58,14.63,14.53,3.66,0.61,General Motors Corporation,Roatan Is.,62,Global Marine LLC,American Virgin Islands,Global Marine LLC,American Virgin Islands,Global Marine LLC,American Virgin Islands,-,-,-,-,7616638,334827000,4.27,1977,-,-,-,-,General Motors Corporation,718,1950,8-645-E6,-,-,-,-,-,-,-,-,-,-,-,-,Global Marine LLC,American Virgin Islands,-,-,-,08 Aug 2018 19:55:45 GMT,-,Global Marine LLC,American Virgin Islands,"16° 20' 48"" N","86° 27' 58"" W"
Ilshin Princess Royal,Roll On Roll Off,Busan,Dae Sun Shipbuilding & Engineering Company Limited,10024215,Live,South Korea,-,5'-10'dwt,8028,Single,-,5591,SB511,120.00,111.00,-,26.00,6.01,6.74,Alpha Diesels A/S,Pohang,-,Ilshin Enterprise Company,Republic of Korea,Ilshin Logistics Company Limited,Republic of Korea,Ilshin Merchant Marine Company Limited,Republic of Korea,-,-,-,-,9496862,440146980,12.75,2010,-,-,-,-,STX Engine Company Limited,5200,3535,6L28/32,-,Korean Register,-,-,-,-,-,-,-,-,Ilshin Marine Transport Company Limited,Republic of Korea,Ilshin Marine Transport Company Limited,Republic of Korea,POHANG,-,A,25 May 2026 05:56:22 GMT,24 May 2026 11:30:00 GMT,Ilshin Logistics Company Limited,Republic of Korea,"36° 0' 42"" N","129° 24' 15"" E"
Vanuatu Islander,Roll On Roll Off,Jakarta,P.T. Dok & Perkapalan Kodja Bahari,10036156,Live,Vanuatu,343,-5'dwt,1499,Single,YJS7404,1142,2647/BA,64.00,59.20,14.00,14.00,3.00,1.51,Caterpillar Incorporated,Port Vila,-,Vanuatu Ferry Limited,Vanuatu,Vanuatu Ferry Limited,Vanuatu,Vanuatu Ferry Limited,Vanuatu,-,-,-,-,9553268,576028000,4.50,2009,-,-,-,-,Caterpillar Incorporated,553,750,3412D,-,RINA Services S.p.A.,-,-,-,-,-,-,2027-07-18T00:00:00,2027-07-18T00:00:00,-,-,Vanuatu Ferry Limited,Vanuatu,-,-,A,25 May 2026 05:55:41 GMT,-,Vanuatu Ferry Limited,Vanuatu,"17° 45' 23"" S","168° 17' 51"" E"
Marjan-E-Kish 1,Roll On Roll Off,Bandar Abbas,Shahid Darvishi Marine Industries,10044687,Live,Iran,748,-5'dwt,2859,Single,EPAI2,1904,852,80.00,76.70,-,17.50,3.25,1.50,Unknown Engine Designer,Bandar Abbas,-,Jonoub Trading group of companies,Iran,Jonoub Trading group of companies,Iran,Jonoub Trading group of companies,Iran,-,-,-,-,9561045,422891000,4.75,2010,-,-,-,-,-,-,-,6MG34HX,-,-,-,-,-,-,2010-09-01T00:00:00,-,-,-,-,-,Jonoub Trading group of companies,Iran,-,-,A,12 Aug 2024 05:34:09 GMT,-,Jonoub Trading group of companies,Iran,"27° 2' 58"" N","55° 58' 20"" E"
Rio Campo,Roll On Roll Off,Vigo,Astilleros Construcciones S.A.,100471,Live,Panama,517,-5'dwt,1040,Single,HP9440,1723,112,76.51,70.01,11.82,11.82,3.76,3.46,Deutz MWM AG,Panama,-,Melmar Navigation Company S.A.,Equatorial Guinea,Melmar Navigation Company S.A.,Equatorial Guinea,Melmar Navigation Company S.A.,Equatorial Guinea,-,-,-,-,7023427,357027000,7.22,1970,-,-,-,-,Deutz MWM AG,1790,2400,TBD500-6,-,-,-,-,-,-,-,-,-,-,-,-,Melmar Navigation Company S.A.,Equatorial Guinea,-,-,-,-,-,Melmar Navigation Company S.A.,Equatorial Guinea,-,-
Meraj 2,Roll On Roll Off,Abadan,Abadan Kashti Nooh,10048290,Live,Iran,163,-5'dwt,1000,Single,EPAC9,495,18604,49.90,42.00,14.50,-,1.00,2.40,Yanmar Diesel Engine Company Limited,Bandar Imam Khomeini,-,Medhi Bahraini,Iran,Medhi Bahraini,Iran,Medhi Bahraini,Iran,-,-,-,-,9565156,422865000,3.40,2009,-,-,-,-,Yanmar Diesel Engine Company Limited,518,704,6AYM-ETE,-,-,-,-,-,-,-,-,-,-,-,-,Medhi Bahraini,Iran,KHORAMSHAHR,-,Both,25 May 2026 05:56:33 GMT,04 Aug 2026 02:00:00 GMT,Medhi Bahraini,Iran,"23° 53' 23"" N","57° 27' 0"" E"
SPA-005,Roll On Roll Off,-,-,10048352,Live,Russia,48,-5'dwt,167,Single,UGFP,162,823,35.82,33.63,7.20,-,1.85,0.55,Russkiy Diesel Firm,Anadyr,-,Anadyr Marine Port Joint-Stock Company,Russian Federation,Anadyr Marine Port Joint-Stock Company,Russian Federation,Anadyr Marine Port Joint-Stock Company,Russian Federation,-,-,-,-,8726325,-,2.40,1988,-,-,-,-,-,1220,1636,6CHNSP18/22-300,-,-,-,-,-,-,2019-10-25T00:00:00,-,-,-,-,-,Anadyr Marine Port Joint-Stock Company,Russian Federation,-,-,-,-,-,Anadyr Marine Port Joint-Stock Company,Russian Federation,-,-
Nabavi 2,Roll On Roll Off,Abadan,Abadan Kashti Nooh,10049869,Live,Iran,163,-5'dwt,1000,Single,EPAC5,495,18602,49.90,42.00,14.50,-,1.00,2.40,Unknown Engine Designer,Bandar Imam Khomeini,-,M. Nabavi,Iran,M. Nabavi,Iran,M. Nabavi,Iran,-,-,-,-,9565144,422863000,3.40,2009,-,-,-,-,Yanmar Diesel Engine Company Limited,829,1127,6AYM-ETE,-,-,-,-,-,-,-,-,-,-,-,-,M. Nabavi,Iran,JASK <<OMAN,-,A,24 May 2026 04:10:25 GMT,17 Jun 2026 10:00:00 GMT,M. Nabavi,Iran,"24° 12' 1"" N","57° 22' 45"" E"
Taurus,Roll On Roll Off,Gijon,Naval Gijon S.A.,100547,Live,Unknown,589,-5'dwt,1283,Single,-,1961,101,75.00,68.03,13.00,13.00,4.27,4.52,Deutz MWM AG,-,-,E O da Silva Comercio e Exportacao-Eireli,Brazil,E O da Silva Comercio e Exportacao-Eireli,Brazil,E O da Silva Comercio e Exportacao-Eireli,Brazil,-,-,-,-,7334125,-,8.79,1974,-,-,-,-,Deutz MWM AG,1790,2400,TBD500-8,-,-,-,-,-,-,-,-,-,-,-,-,E O da Silva Comercio e Exportacao-Eireli,Brazil,-,-,A,13 Dec 2022 22:22:59 GMT,-,E O da Silva Comercio e Exportacao-Eireli,Brazil,"9° 21' 59"" N","79° 53' 39"" W"
Martin Posadillo,Roll On Roll Off,Gijon,Naval Gijon S.A.,100550,Live,Spain,341,-5'dwt,1283,Single,EBQJ,1923,100,75.00,68.03,13.00,13.00,4.27,4.52,Deutz MWM AG,-,-,Compania Trasmediterranea S.A.,Spain,Naviera Mallorquina S.A.,Spain,Naviera Mallorquina S.A.,Spain,-,-,-,-,7332361,224066000,8.79,1973,-,-,-,-,Deutz MWM AG,1790,2400,RHS345AU,-,-,-,-,-,-,-,-,-,-,-,-,Naviera Mallorquina S.A.,Spain,-,-,B,29 Jun 2023 09:34:50 GMT,-,Naviera Mallorquina S.A.,Spain,"26° 33' 53"" N","20° 2' 3"" W"
