Name,LLI Vessel Type,Built At,Built By,LLI NO,Status,Flag,Net Weight,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Maximum Draught (m),Freeboard (m),Designed By,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,IMO,MMSI,Depth (m),Built,Scrubber installation type,Scrubber manufacturer,Scrubber operating arrangement,Scrubber type,Engine Built By,Engine Power (kW),Engine Horsepower,Engine Designation,P & I Club,Class 1,Class 2,Class 3,Last docking survey date,Last intermediate survey date,Last special survey date,Last tailshaft survey date,Next Docking Survey Date,Next Special Survey Date,ISM Manager,ISM Manager Country/Region,Technical Manager,Technical Manager Country/Region,AIS Destination,Matched Destination,Latest AIS message type,Latest AIS message timestamp,AIS ETA,Company contact,Company contact Country/Region,Lat,Lng
Dione Leader,vehicle carrier,Onishi,Shin Kurushima Dockyard Company Limited,10001259,Live,Japan,18878,50'+ gt,21111,Single,7KPJ,62927,5662,199.94,190.00,-,32.26,10.33,13.79,B&W Diesel A/S,Tokyo,-,Nippon Yusen Kabushiki Kaisha (NYK Line) (Nippon Yusen Kaisha),Japan,Nippon Yusen Kabushiki Kaisha (NYK Line) (Nippon Yusen Kaisha),Japan,Urushi Ship Holding LLC,Japan,-,-,-,-,9561954,431172000,24.12,2013,-,-,-,-,Kobe Diesel Company Limited,15540,18283,7S60MC-C,Japan Shipowners Mutual Protection & Indemnity Association,Nippon Kaiji Kyokai,-,-,2018-09-16T00:00:00,-,2018-09-16T00:00:00,-,2028-09-07T00:00:00,2028-09-07T00:00:00,NYK Bulkship Partners Company Limited,Japan,NYK Bulkship Partners Company Limited,Japan,ID TPP,-,A,25 May 2026 05:57:49 GMT,24 May 2026 22:30:00 GMT,Nippon Yusen Kabushiki Kaisha (NYK Line) (Nippon Yusen Kaisha),Japan,"6° 5' 56"" S","106° 55' 1"" E"
Glorious Ace,vehicle carrier,Usuki,Minami-Nippon Shipbuilding Company Limited,10001327,Live,Liberia,18159,50'+ gt,18836,Single,A8FW4,58939,710,199.95,190.00,-,32.20,9.82,11.37,B&W Diesel A/S,Monrovia,-,Meiji Shipping Group,Japan,Meiji Shipping Company Limited,Japan,Esteem Maritime S.A.,Panama,-,-,-,-,9561277,636026053,21.19,2010,-,-,-,-,Mitsui Engineering & Shipbuilding Company Limited,15130,18283,7S60MC-C,Assuranceforeningen Gard,Nippon Kaiji Kyokai,-,-,2020-08-28T00:00:00,-,2020-08-28T00:00:00,-,2030-05-20T00:00:00,2030-05-20T00:00:00,MMS Company Limited,Japan,MMS Company Limited,Japan,MU PLU,-,A,25 May 2026 05:56:24 GMT,04 Jun 2026 03:00:00 GMT,Meiji Shipping Company Limited,Japan,"1° 33' 14"" N","103° 4' 1"" E"
Elegant Ace,vehicle carrier,Usuki,Minami-Nippon Shipbuilding Company Limited,10001328,Live,Panama,18159,50'+ gt,18833,Single,3E3535,58939,709,199.95,190.00,-,32.20,9.82,11.37,B&W Diesel A/S,Panama,-,Mitsui O.S.K. Lines Limited (MOL),Japan,MOL Auto Logistics (India) Private Limited,India,Polar Express S.A.,Panama,-,-,-,-,9561265,352980796,21.19,2010,-,-,-,-,Mitsui Engineering & Shipbuilding Company Limited (Tamano),15130,18283,7S60MC-C,Assuranceforeningen Skuld,Nippon Kaiji Kyokai,-,-,2020-02-02T00:00:00,-,2020-02-02T00:00:00,-,2030-01-28T00:00:00,2030-01-28T00:00:00,MOL Ship Management (Singapore) Private Limited,Republic of Singapore,MOL Ship Management (Singapore) Private Limited,Republic of Singapore,PA BLB,-,A,25 May 2026 05:57:37 GMT,26 May 2026 23:00:00 GMT,MOL Auto Logistics (India) Private Limited,India,"12° 28' 26"" N","87° 13' 38"" W"
Tranquil Ace,vehicle carrier,Usuki,Minami-Nippon Shipbuilding Company Limited,10001330,Live,Panama,18159,50'+ gt,18840,Single,H3XK,58939,708,199.95,190.00,-,32.20,9.82,11.37,B&W Diesel A/S,Panama,-,Masumoto Shipping Company Limited,Japan,Masumoto Shipping Company Limited,Japan,Prosper World Marine Company Limited,Liberia,-,-,-,-,9561253,353943000,21.19,2009,-,-,-,-,Mitsui Engineering & Shipbuilding Company Limited (Tamano),15130,18283,7S60MC-C,Japan Shipowners Mutual Protection & Indemnity Association,Nippon Kaiji Kyokai,-,-,2019-11-11T00:00:00,-,2019-11-11T00:00:00,-,2029-10-29T00:00:00,2029-10-29T00:00:00,Masumoto Shipping Company Limited,Japan,Masumoto Shipping Company Limited,Japan,GB BRS,-,A,25 May 2026 05:58:22 GMT,24 May 2026 09:00:00 GMT,Masumoto Shipping Company Limited,Japan,"51° 21' 3"" N","4° 24' 37"" W"
Chesapeake Highway,vehicle carrier,Nantong,Nantong COSCO KHI Ship Engineering Company Limited (NACKS),10096513,Live,Panama,17561,50'+ gt,21643,Single,3FPH4,58535,NE077,199.90,190.00,-,32.26,10.02,13.73,Unknown Engine Designer,Panama,-,Kawasaki Kisen Kaisha Limited (Kawasaki Kisen KK) ('K' Line),Japan,'K' Line RoRo Bulk Ship Management Company Limited,Japan,KAW 1652 Shipping S.A.,Panama,-,-,-,-,9565546,351733000,23.75,2010,-,-,-,-,Kawasaki Heavy Industries Limited (Tokyo),13200,17701,6S60MC-C,Japan Shipowners Mutual Protection & Indemnity Association,Nippon Kaiji Kyokai,-,-,2020-10-13T00:00:00,-,2020-10-13T00:00:00,-,2030-11-08T00:00:00,2030-11-08T00:00:00,'K' Line RoRo Bulk Ship Management Company Limited,Japan,'K' Line RoRo Bulk Ship Management Company Limited,Japan,IN ENR,Kamarajar/Ennore,A,25 May 2026 05:51:15 GMT,18 Jun 2026 12:30:00 GMT,'K' Line RoRo Bulk Ship Management Company Limited,Japan,"48° 27' 57"" N","6° 29' 24"" W"
Cape Town Highway,vehicle carrier,Nantong,Nantong COSCO KHI Ship Engineering Company Limited (NACKS),10096514,Live,Panama,17561,50'+ gt,21676,Single,3FOK4,58535,NE078,199.90,190.00,-,32.26,10.02,13.73,Unknown Engine Designer,Panama,-,Kawasaki Kisen Kaisha Limited (Kawasaki Kisen KK) ('K' Line),Japan,'K' Line RoRo Bulk Ship Management Company Limited,Japan,KAW1653 Shipping SA,Panama,-,-,-,-,9565558,372031000,23.75,2011,-,-,-,-,Kawasaki Heavy Industries Limited Shipbuilding Division,13200,17701,6S60MC-C,Japan Shipowners Mutual Protection & Indemnity Association,Nippon Kaiji Kyokai,-,-,2021-02-18T00:00:00,-,2021-02-18T00:00:00,-,2031-01-13T00:00:00,2031-01-13T00:00:00,'K' Line RoRo Bulk Ship Management Company Limited,Japan,'K' Line RoRo Bulk Ship Management Company Limited,Japan,AE AUH,-,A,25 May 2026 05:50:05 GMT,25 May 2026 04:00:00 GMT,'K' Line RoRo Bulk Ship Management Company Limited,Japan,"24° 49' 18"" N","54° 40' 13"" E"
Dalian Highway,vehicle carrier,Nantong,Nantong COSCO KHI Ship Engineering Company Limited (NACKS),10096515,Live,Panama,17561,50'+ gt,21616,Single,3FYE5,58535,NE079,199.90,190.00,-,32.26,10.02,13.73,Unknown Engine Designer,Panama,-,Kawasaki Kisen Kaisha Limited (Kawasaki Kisen KK) ('K' Line),Japan,'K' Line RoRo Bulk Ship Management Company Limited,Japan,KAW1654 Shipping SA,Panama,-,-,-,-,9565560,357694000,23.75,2011,-,-,-,-,Kawasaki Heavy Industries Limited Shipbuilding Division,13200,17701,6S60MC-C,Japan Shipowners Mutual Protection & Indemnity Association,Nippon Kaiji Kyokai,-,-,2018-08-06T00:00:00,-,2016-03-07T00:00:00,-,2031-04-27T00:00:00,2031-04-27T00:00:00,'K' Line RoRo Bulk Ship Management Company Limited,Japan,'K' Line RoRo Bulk Ship Management Company Limited,Japan,PA BLB,-,A,25 May 2026 05:57:52 GMT,24 May 2026 21:00:00 GMT,'K' Line RoRo Bulk Ship Management Company Limited,Japan,"8° 52' 23"" N","79° 28' 39"" W"
Morning Cara,vehicle carrier,Marugame,Imabari Shipbuilding Company Limited (Marugame),10164579,Live,South Korea,19152,50'+ gt,18907,Single,D7NZ,59454,S1531,199.97,190.00,32.25,32.20,10.02,11.29,Mitsubishi Heavy Industries Limited,-,-,Wilh. Wilhelmsen Holding ASA (Wilship),Norway,EUKOR Car Carriers Incorporated,Republic of Korea,EUKOR Car Carriers Incorporated,Republic of Korea,-,-,-,-,9574092,441148000,21.31,2011,-,-,-,-,Kobe Hatsudoki,13260,18907,8UEC60LSII,Assuranceforeningen Gard,Nippon Kaiji Kyokai,Korean Register,-,-,-,2016-03-04T00:00:00,-,2026-05-29T00:00:00,2026-05-29T00:00:00,Wilhelmsen Ship Management Korea Limited,Republic of Korea,Wilhelmsen Ship Management Korea Limited,Republic of Korea,CN HUA,-,A,25 May 2026 05:49:48 GMT,24 May 2026 23:15:00 GMT,EUKOR Car Carriers Incorporated,Republic of Korea,"23° 0' 52"" N","113° 31' 41"" E"
Morning Crystal,vehicle carrier,Marugame,Imabari Shipbuilding Company Limited (Marugame),10164580,Live,Panama,19148,50'+ gt,18918,Single,3FKJ9,59524,S1530,199.97,192.00,-,32.26,10.02,24.78,Mitsubishi Heavy Industries Limited,Panama,-,Pittas Family,Greece,Eurobulk Limited,Greece,Eurobulk Limited,Greece,-,-,-,-,9574080,371706000,34.80,2011,-,-,-,-,Kobe Hatsudoki,13260,18907,8UEC60LSII,U.K. Mutual Steam Ship Assurance Association (Bermuda) Ltd,Nippon Kaiji Kyokai,Korean Register,-,2018-10-19T00:00:00,-,2016-03-19T00:00:00,-,-,-,-,-,Eurobulk Limited,Greece,-,-,A,20 Apr 2026 03:47:08 GMT,-,Eurobulk Limited,Greece,"29° 56' 17"" N","122° 15' 45"" E"
California Highway,vehicle carrier,Marugame,Imabari Shipbuilding Company Limited (Marugame),10164581,Live,Panama,19152,50'+ gt,18644,Single,3FJL6,59447,1527,199.97,190.00,-,32.26,10.02,11.29,Mitsubishi Heavy Industries Limited,Panama,-,Kawasaki Kisen Kaisha Limited (Kawasaki Kisen KK) ('K' Line),Japan,'K' Line RoRo Bulk Ship Management Company Limited,Japan,9107 Eagles Line SA,Panama,-,-,-,-,9574078,352732000,21.31,2010,-,-,-,-,Kobe Hatsudoki,13260,18907,8UEC60LSII,Japan Shipowners Mutual Protection & Indemnity Association,Nippon Kaiji Kyokai,-,-,2021-01-11T00:00:00,-,2021-01-11T00:00:00,-,2030-12-23T00:00:00,2030-12-23T00:00:00,'K' Line RoRo Bulk Ship Management Company Limited,Japan,'K' Line RoRo Bulk Ship Management Company Limited,Japan,SGSIN,Singapore,A,25 May 2026 05:53:57 GMT,03 Jun 2026 15:00:00 GMT,'K' Line RoRo Bulk Ship Management Company Limited,Japan,"24° 59' 53"" S","49° 43' 57"" E"
