Name,LLI Vessel Type,Built At,Built By,LLI NO,Status,Flag,Net Weight,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Maximum Draught (m),Freeboard (m),Designed By,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,IMO,MMSI,Depth (m),Built,Scrubber installation type,Scrubber manufacturer,Scrubber operating arrangement,Scrubber type,Engine Built By,Engine Power (kW),Engine Horsepower,Engine Designation,P & I Club,Class 1,Class 2,Class 3,Last docking survey date,Last intermediate survey date,Last special survey date,Last tailshaft survey date,Next Docking Survey Date,Next Special Survey Date,ISM Manager,ISM Manager Country/Region,Technical Manager,Technical Manager Country/Region,AIS Destination,Matched Destination,Latest AIS message type,Latest AIS message timestamp,AIS ETA,Company contact,Company contact Country/Region,Lat,Lng
Da Kun Shan,asphalt tanker,China,Gezhouba Group Shipyard,10013556,Live,"Hong Kong, S.A.R., China",1647,1'+ dwt,6162,Double Hull,VRTC8,5493,GMSC086,106.84,101.50,-,17.60,6.50,3.60,Yanmar Diesel Engine Company Limited,Hong Kong,-,Wideshine Enterprises Company Limited,People's Republic of China,Tianjin Southwest Maritime Limited (TSM),People's Republic of China,Ever Peace Maritime Limited,"Hong Kong, S.A.R., China",-,-,-,-,9567685,477455600,10.10,2009,-,-,-,-,Qingdao Zichai Boyang Diesel Engine Company Limited,3310,4497,8N330-EN,West of England Mutual Shipowners Protection & Indemnity Association (Luxemburg),Bureau Veritas,-,-,2024-09-01T00:00:00,2023-01-16T00:00:00,2025-07-01T00:00:00,2019-12-10T00:00:00,2029-08-31T00:00:00,2029-08-31T00:00:00,Tianjin Southwest Maritime Limited (TSM),People's Republic of China,Tianjin Southwest Maritime Limited (TSM),People's Republic of China,HONGKONG,Hong Kong,A,17 Aug 2026 14:12:16 GMT,19 Aug 2026 08:00:00 GMT,Tianjin Southwest Maritime Limited (TSM),People's Republic of China,"24° 41' 56"" N","119° 18' 16"" E"
Orange Star,fruit juice tanker,Split,Brodogradiliste Brodosplit Shipbuilding,10014384,Live,Liberia,10329,1'+ dwt,36994,Double Hull,A8WP6,34432,469,189.90,182.00,-,32.24,10.15,6.95,B&W Diesel A/S,Monrovia,-,Atlanship SA,Switzerland,Atlanship SA,Switzerland,North Sea Reefer Enterprise S.A.,Switzerland,-,-,-,-,9564384,636014800,17.10,2011,-,-,-,-,Brodosplit-Tvornica Dizel Motora d.o.o.,8600,11685,6S50MC-C,NorthStandard,Bureau Veritas,-,-,2026-03-16T00:00:00,2024-03-04T00:00:00,2026-03-01T00:00:00,2024-03-04T00:00:00,2031-02-17T00:00:00,2031-02-17T00:00:00,Atlanship SA,Switzerland,Atlanship SA,Switzerland,BRSSZ,Santos,A,17 Aug 2026 13:30:20 GMT,27 Aug 2026 08:00:00 GMT,Atlanship SA,Switzerland,"16° 41' 23"" N","51° 12' 11"" W"
Hanyu Empire,asphalt tanker,Nanjing,Nanjing Yonghua Shipbuilding Industry Company Limited,10016223,Live,South Korea,1745,1'+ dwt,5999,Double Hull,DSQP2,4387,YHSC-0710,102.40,95.00,-,17.00,7.02,1.88,HD Hyundai Heavy Industries Company Limited,Jeju,-,Hanyu Company Limited,Republic of Korea,Hanyu Company Limited,Republic of Korea,Hanyu Company Limited,Republic of Korea,-,-,-,-,9561112,441652000,8.90,2010,-,-,-,-,The Hanshin Diesel Works Limited,2620,3028,9H25/33P,Korea Shipowners Mutual Protection & Indemnity Association,Korean Register,-,-,-,-,-,-,2029-03-04T00:00:00,2029-03-04T00:00:00,Hanyu Company Limited,Republic of Korea,Hanyu Company Limited,Republic of Korea,"ULSAN,KR",Ulsan,A,17 Aug 2026 14:14:32 GMT,20 Aug 2026 08:30:00 GMT,Hanyu Company Limited,Republic of Korea,"28° 8' 56"" N","122° 44' 1"" E"
Vetor Quinto,wine tanker,Kyrksaetrora,Vaagen Verft Engineering AS,100174,Live,Italy,235,-1' dwt,944,Single,INVR,619,27,62.03,55.30,9.45,9.45,3.66,0.39,Deutz AG,Naples,-,Vetor S.r.l.,Italy,Vetor S.r.l.,Italy,Vetor S.r.l.,Italy,-,-,-,-,6360696,247222900,4.05,1963,-,-,-,-,Deutz AG,588,800,RBV6M545,-,RINA Services S.p.A.,-,-,-,-,2018-05-31T00:00:00,-,2028-05-31T00:00:00,2028-05-31T00:00:00,-,-,Vetor S.r.l.,Italy,MANFREDONIA>TREMITI,-,A,17 Aug 2026 14:14:02 GMT,17 Aug 2026 14:30:00 GMT,Vetor S.r.l.,Italy,"42° 6' 52"" N","15° 29' 39"" E"
Elizabeth 1,asphalt tanker,Haiphong,Haiphong PTS Shipbuilding Company Limited,10019771,Live,Indonesia,493,1'+ dwt,2107,Double Hull,YDWH3,1730,S-001,78.64,72.00,-,12.00,5.80,0.81,Akasaka Diesels Limited,Cilacap,-,PT Aspindo Bahari Luas,Indonesia,PT Aspindo Bahari Luas,Indonesia,PT Aspindo Bahari Luas,Indonesia,-,-,-,-,9540900,525801660,5.80,2009,-,-,-,-,Akasaka Diesels Limited,1765,2039,A34S,Hydor AS,RI (provisional), (provisional), (provisional),-,-,2010-03-01T00:00:00,-,2029-09-29T00:00:00,2029-09-29T00:00:00,PT Aspindo Bahari Luas,Indonesia,PT Aspindo Bahari Luas,Indonesia,CILACAP,Cilacap (Tjilatjap),A,17 Aug 2026 12:56:27 GMT,18 Aug 2026 12:00:00 GMT,PT Aspindo Bahari Luas,Indonesia,"8° 21' 26"" S","111° 9' 54"" E"
Bumi Sarana,asphalt tanker,Tokyo,Shin Kurushima Dockyard Company Limited,100360,Live,Indonesia,681,1'+ dwt,2506,Double Hull,-,1477,772,75.00,70.01,12.37,12.37,5.34,0.40,Daihatsu Diesel Manufacturing Company Limited,-,-,Rio Grande Company Limited,Japan,Rio Grande Company Limited,Japan,Rio Grande Shipping Overseas Corporation S.A.,Panama,-,-,-,-,7373559,-,5.74,1973,-,-,-,-,Daihatsu Diesel Manufacturing Company Limited,1491,2000,6DSM-32F,-,-,-,-,-,-,-,-,-,-,-,-,Rio Grande Company Limited,Japan,-,-,-,-,-,Rio Grande Company Limited,Japan,-,-
Athel,molasses tanker,Lowestoft,Richards (Shipbuilders) Limited,100365,Live,Trinidad & Tobago,302,1'+ dwt,1031,Single,9YFB,812,530,59.00,-,10.40,10.06,4.00,0.30,Mirrlees Blackstone Limited,-,-,Associated Marine Services Limited,Trinidad & Tobago,Associated Marine Services Limited,Trinidad & Tobago,Associated Marine Services Limited,Trinidad & Tobago,-,-,-,-,7413220,-,4.30,1977,-,-,-,-,Mirrlees Blackstone Limited,447,600,ESL6,-,-,-,-,-,-,-,-,-,-,-,-,Associated Marine Services Limited,Trinidad & Tobago,-,-,-,-,-,Associated Marine Services Limited,Trinidad & Tobago,-,-
Taira Maru,asphalt tanker,Yawatahama,Kurinoura Dockyard K.K.,10054231,Live,Japan,-,1'+ dwt,1435,Double Hull,JD2968,748,411,69.99,68.00,-,11.30,4.33,0.27,The Hanshin Diesel Works Limited,-,-,Taira Kisen K.K.,Japan,Taira Kisen K.K.,Japan,Taira Kisen K.K.,Japan,-,-,-,-,9553098,431001045,4.60,2009,-,-,-,-,The Hanshin Diesel Works Limited,1124,1800,LH30LG,-,-,-,-,-,-,-,-,-,-,-,-,Taira Kisen K.K.,Japan,>JP YKK/3  OFF,-,A,17 Aug 2026 14:13:09 GMT,13 Aug 2026 09:00:00 GMT,Taira Kisen K.K.,Japan,"34° 57' 19"" N","136° 38' 43"" E"
Fang Cheng Gang,asphalt tanker,Yichang,China Gezhouba Group Machinery & Ship Company Limited,10084354,Live,"Hong Kong, S.A.R., China",1647,1'+ dwt,6192,Double Hull,VRHQ6,5493,GMSC87,106.84,101.50,-,17.60,6.50,3.60,Yanmar Diesel Engine Company Limited,Hong Kong,-,Wideshine Enterprises Company Limited,People's Republic of China,Fangchenggang Southwest Maritime Limited,People's Republic of China,United Rich Maritime Limited,"Hong Kong, S.A.R., China",-,-,-,-,9571674,477963300,10.10,2010,-,-,-,-,Qingdao Zichai Boyang Diesel Engine Company Limited,3310,4497,8N330-EN,West of England Mutual Shipowners Protection & Indemnity Association (Luxemburg),Bureau Veritas,-,-,2025-04-15T00:00:00,2022-07-12T00:00:00,2025-04-01T00:00:00,2015-04-21T00:00:00,2030-04-25T00:00:00,2030-04-25T00:00:00,Tianjin Southwest Maritime Limited (TSM),People's Republic of China,Tianjin Southwest Maritime Limited (TSM),People's Republic of China,PWBGA SINGAPORE,-,A,17 Aug 2026 14:15:29 GMT,15 Aug 2026 03:00:00 GMT,Fangchenggang Southwest Maritime Limited,People's Republic of China,"1° 14' 58"" N","103° 42' 57"" E"
Erica 10,asphalt tanker,Wenling,Zhejiang Tianshi Shipbuilding Company Limited,10088103,Live,Indonesia,1717,1'+ dwt,5869,Double Hull,YCHV,4126,TY2,112.10,105.50,16.20,16.20,6.00,2.00,Yanmar Diesel Engine Company Limited,Jakarta,-,P.T. Bitumen Marasende,Indonesia,P.T. Bitumen Marasende,Indonesia,P.T. Bitumen Marasende,Indonesia,-,-,-,-,9572862,525003391,8.00,2012,-,-,-,-,Shaanxi Diesel Engine Factory,2574,3452,6N330-EN,-,Indian Register,-,-,-,-,2022-11-16T00:00:00,-,2027-04-10T00:00:00,2027-04-10T00:00:00,P.T. Edricko Shipping Lines,Indonesia,P.T. Edricko Shipping Lines,Indonesia,CIGADING_ID,-,A,17 Aug 2026 14:06:38 GMT,12 Aug 2026 16:48:00 GMT,P.T. Bitumen Marasende,Indonesia,"6° 0' 8"" S","105° 56' 21"" E"
