Name,LLI Vessel Type,Built At,Built By,LLI NO,Status,Flag,Net Weight,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Maximum Draught (m),Freeboard (m),Designed By,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,IMO,MMSI,Depth (m),Built,Scrubber installation type,Scrubber manufacturer,Scrubber operating arrangement,Scrubber type,Engine Built By,Engine Power (kW),Engine Horsepower,Engine Designation,P & I Club,Class 1,Class 2,Class 3,Last docking survey date,Last intermediate survey date,Last special survey date,Last tailshaft survey date,Next Docking Survey Date,Next Special Survey Date,ISM Manager,ISM Manager Country/Region,Technical Manager,Technical Manager Country/Region,AIS Destination,Matched Destination,Latest AIS message type,Latest AIS message timestamp,AIS ETA,Company contact,Company contact Country/Region,Lat,Lng,# Times In,Total Time In Area
Coral Actinia,Combined LNG and LPG Gas Carrier,Jiangdu,AVIC Dingheng Shipbuilding Company Limited,10526439,Live,Netherlands,1886,"LNG, -100'cbm",6685,Double Hull,PBUC,6288,DH0007,115.00,108.86,17.00,16.80,7.80,2.00,Mak Motoren GmbH & Company KG,Rotterdam,-,Anthony Veder Group N.V.,Netherlands,Anthony Veder Rederijzaken B.V.,Netherlands,Coral Actinia Shipping B.V.,Netherlands,-,-,-,-,9601742,246122000,9.80,2013,-,-,-,-,Caterpillar Motoren Rostock GmbH,6000,8152,6M43,U.K. Mutual Steam Ship Assurance Association (Bermuda) Ltd,Bureau Veritas,-,-,2022-10-02T00:00:00,2026-02-22T00:00:00,2022-10-01T00:00:00,2022-10-02T00:00:00,2028-01-02T00:00:00,2028-01-02T00:00:00,Anthony Veder Rederijzaken B.V.,Netherlands,Anthony Veder Rederijzaken B.V.,Netherlands,KR TSN,Daesan/Seosan,A,03 Jun 2026 12:05:51 GMT,04 Jun 2026 17:00:00 GMT,Anthony Veder Rederijzaken B.V.,Netherlands,"30° 37' 8"" N","124° 44' 52"" E",1,"1 day, 3 hours"
Coral Acropora,Combined LNG and LPG Gas Carrier,Jiangdu,AVIC Dingheng Shipbuilding Company Limited,10526444,Live,Netherlands,1886,"LNG, -100'cbm",6685,Double Hull,PCIG,6288,DH0006,115.00,108.86,-,16.80,7.80,2.00,Mak Motoren GmbH & Company KG,Rotterdam,-,Anthony Veder Group N.V.,Netherlands,Anthony Veder Rederijzaken B.V.,Netherlands,Coral Acropora Shipping B.V.,Netherlands,-,-,-,-,9601730,245389000,9.80,2012,-,-,-,-,-,6000,8152,6M43,U.K. Mutual Steam Ship Assurance Association (Bermuda) Ltd,Bureau Veritas,-,-,2022-10-31T00:00:00,2025-08-12T00:00:00,2025-08-01T00:00:00,2022-10-31T00:00:00,2027-09-20T00:00:00,2027-09-20T00:00:00,Anthony Veder Rederijzaken B.V.,Netherlands,Anthony Veder Rederijzaken B.V.,Netherlands,CN YIZ,Yizheng Port,A,03 Jun 2026 12:10:50 GMT,04 Jun 2026 07:00:00 GMT,Anthony Veder Rederijzaken B.V.,Netherlands,"33° 27' 43"" N","124° 24' 16"" E",14,"1 month, 1 day"
Gaslog Shanghai,Liquefied Natural Gas Carrier,Goeje Is.,Samsung Shipbuilding & Heavy Industries Company Limited,10528060,Live,Bermuda,30876,"LNG VLGC, 100'-200'cbm",82105,Double Hull,ZCEH4,98075,1946,285.12,274.00,43.40,43.40,11.50,14.50,Wartsila Corporation,Hamilton,-,China Development Bank (CDB),People's Republic of China,China Development Bank Financial Leasing Company Limited,People's Republic of China,CL Gas Three Limited,"Hong Kong, S.A.R., China",GasLog Partners LP,Monaco,-,-,9600528,310644000,26.00,2013,-,-,-,-,Wartsila Deutschland GmbH,11400,15288,12V50DF,West of England Mutual Shipowners Protection & Indemnity Association (Luxemburg),American Bureau,-,-,2020-02-01T00:00:00,2020-02-01T00:00:00,2017-11-17T00:00:00,2017-11-17T00:00:00,2028-01-27T00:00:00,2028-01-27T00:00:00,Gaslog LNG Services Limited,Greece,Gaslog LNG Services Limited,Greece,FOR ORDERS,-,A,03 Jun 2026 11:19:08 GMT,01 Jun 2026 10:30:00 GMT,China Development Bank Financial Leasing Company Limited,People's Republic of China,"4° 44' 54"" N","79° 59' 54"" E",1,"1 day, 5 hours"
Gaslog Santiago,Liquefied Natural Gas Carrier,Goeje Is.,Samsung Shipbuilding & Heavy Industries Company Limited,10528147,Live,Bermuda,30876,"LNG VLGC, 100'-200'cbm",82179,Double Hull,ZCEH5,98451,1947,285.12,274.00,43.40,43.40,11.50,14.50,Wartsila Corporation,Hamilton,-,China Development Bank (CDB),People's Republic of China,China Development Bank Financial Leasing Company Limited,People's Republic of China,Shenzhen Qianhai Shengli-IV Leasing Limited,People's Republic of China,GasLog Partners LP,Monaco,-,-,9600530,310652000,26.00,2013,-,-,-,-,Wartsila Deutschland GmbH,11400,15288,12V50DF,West of England Mutual Shipowners Protection & Indemnity Association (Luxemburg),American Bureau,-,-,2018-05-09T00:00:00,-,2018-05-09T00:00:00,2018-05-09T00:00:00,2028-03-24T00:00:00,2028-03-24T00:00:00,Gaslog LNG Services Limited,Greece,Gaslog LNG Services Limited,Greece,PACIFIC,Dampier,A,03 Jun 2026 11:51:20 GMT,14 Jun 2026 00:01:00 GMT,China Development Bank Financial Leasing Company Limited,People's Republic of China,"2° 20' 47"" S","126° 35' 49"" E",4,"5 days, 2 hours"
Akebono Maru,Liquefied Natural Gas Carrier,Japan,Higaki Shipbuilding Company Limited,10604144,Live,Japan,-,"LNG, -100'cbm",2528,Double Hull,JD3204,4505,677,99.37,93.00,-,17.20,4.61,3.19,The Hanshin Diesel Works Limited,Tokyo,-,Chuo Kaiun K.K.,Japan,Chuo Kaiun K.K.,Japan,Chuo Kaiun K.K.,Japan,-,-,-,-,9554729,431003094,7.80,2011,-,-,-,-,Hanshin Nainenki Kogyo,2942,3945,LH46L,-,Nippon Kaiji Kyokai,-,-,2019-07-23T00:00:00,-,2019-07-23T00:00:00,-,2029-07-22T00:00:00,2029-07-22T00:00:00,NS United Coastal Tanker Kaisha Limited,Japan,NS United Coastal Tanker Kaisha Limited,Japan,>JP HKP SEC.6 OFF,-,A,03 Jun 2026 12:12:46 GMT,04 Jun 2026 09:00:00 GMT,Chuo Kaiun K.K.,Japan,"41° 46' 55"" N","140° 43' 23"" E",2,"8 days, 23 hours"
Asia Energy,Liquefied Natural Gas Carrier,Goeje Is.,Samsung Shipbuilding & Heavy Industries Company Limited,10656273,Live,Bahamas,32639,"LNG VLGC, 100'-200'cbm",82487,Double Hull,C6AX4,101427,1921,285.00,274.00,-,43.40,11.50,14.50,Wartsila Corporation,Nassau,-,Chevron Corporation,United States of America,Chevron Transport Corporation Limited,United States of America,Chevron Transport Corporation Limited,United States of America,-,-,-,-,9606950,311000183,26.00,2014,-,-,-,-,-,21195,28422,12V50DF,NorthStandard,American Bureau,-,-,2019-09-24T00:00:00,-,2019-09-24T00:00:00,2019-09-24T00:00:00,2029-09-21T00:00:00,2029-09-21T00:00:00,Chevron Transport Corporation Limited,United States of America,Chevron Transport Corporation Limited,United States of America,"ZHOUSHAN,CHINA",-,A,03 Jun 2026 12:09:17 GMT,03 Jun 2026 02:00:00 GMT,Chevron Transport Corporation Limited,United States of America,"30° 6' 22"" N","122° 16' 51"" E",1,"1 day, 6 hours"
Asia Endeavour,Liquefied Natural Gas Carrier,Goeje Is.,Samsung Shipbuilding & Heavy Industries Company Limited,10688578,Live,Bahamas,32639,"LNG VLGC, 100'-200'cbm",82435,Double Hull,C6AX6,101427,1942,285.00,274.00,44.00,43.40,11.50,14.90,Wartsila Corporation,Nassau,-,Chevron Corporation,United States of America,Chevron Transport Corporation Limited,United States of America,Chevron Transport Corporation Limited,United States of America,-,-,-,-,9610779,311000185,26.40,2015,-,-,-,-,-,21195,28422,12V50DF,NorthStandard,American Bureau,-,-,2018-03-24T00:00:00,-,-,-,2030-06-16T00:00:00,2030-06-16T00:00:00,Chevron Transport Corporation Limited,United States of America,Chevron Transport Corporation Limited,United States of America,SG SIN,Singapore,A,03 Jun 2026 12:04:57 GMT,06 Jun 2026 00:00:00 GMT,Chevron Transport Corporation Limited,United States of America,"13° 27' 20"" N","113° 39' 57"" E",1,"1 day, 14 hours"
Woodside Rogers,Liquefied Natural Gas Carrier,Okpo,Hanwha Ocean Company Limited,10996576,Live,Greece,31179,"LNG VLGC, 100'-200'cbm",90327,Double Hull,SVBS6,103928,2288,294.20,283.20,44.03,44.00,11.50,14.50,Wartsila Corporation,Piraeus,-,Maran Nakilat Company Limited,Cayman Islands,Maran Nakilat Company Limited,Cayman Islands,Margie Seaway Corporation,Greece,Woodside Energy Group Limited,Australia,-,-,9627485,241254000,26.00,2013,-,-,-,-,Wartsila Italia S.p.A.,21195,28422,9L50DF,NorthStandard,DNV,-,-,-,-,2018-04-26T00:00:00,-,2028-07-01T00:00:00,2028-07-01T00:00:00,Maran Gas Maritime Incorporated,Greece,Maran Gas Maritime Incorporated,Greece,FOR ORDERS,-,A,03 Jun 2026 12:10:46 GMT,11 Jun 2026 21:01:00 GMT,Maran Nakilat Company Limited,Cayman Islands,"16° 41' 10"" N","132° 15' 3"" E",7,"8 days, 8 hours"
Gaslog Sydney,Liquefied Natural Gas Carrier,Goeje Is.,Samsung Shipbuilding & Heavy Industries Company Limited,10997134,Live,Bermuda,30876,"LNG VLGC, 100'-200'cbm",82010,Double Hull,ZCEJ8,98451,2016,285.12,274.00,43.40,43.40,11.50,14.50,Wartsila Corporation,Hamilton,-,China Development Bank (CDB),People's Republic of China,China Development Bank Financial Leasing Company Limited,People's Republic of China,Tianjin Shengli-II Leasing Limited,People's Republic of China,GasLog Partners LP,Monaco,-,-,9626273,310657000,26.00,2013,-,-,-,-,Wartsila SACM,21195,28422,12V50DF,West of England Mutual Shipowners Protection & Indemnity Association (Luxemburg),American Bureau,-,-,2018-06-29T00:00:00,-,2018-06-29T00:00:00,2018-06-29T00:00:00,2028-05-29T00:00:00,2028-05-29T00:00:00,Gaslog LNG Services Limited,Greece,Gaslog LNG Services Limited,Greece,AUDAM,Dampier,A,03 Jun 2026 11:59:04 GMT,04 Jun 2026 16:01:00 GMT,China Development Bank Financial Leasing Company Limited,People's Republic of China,"18° 5' 48"" S","118° 10' 28"" E",4,5 days
Southern Cross,Liquefied Natural Gas Carrier,Shanghai,Hudong-Zhonghua Shipbuilding (Group) Company Limited,10997485,Live,"Hong Kong, S.A.R., China",34264,"LNG VLGC, 100'-200'cbm",96193,Double Hull,VRNU9,114166,H1671A,290.00,280.22,46.95,46.95,11.50,14.75,B&W Diesel A/S,Hong Kong,-,Mitsui O.S.K. Lines Limited (MOL),Japan,MOL (Europe Africa) Limited,United Kingdom,Aries LNG Shipping Limited,"Hong Kong, S.A.R., China",ExxonMobil Corporation,United States of America,-,-,9613147,477476100,26.25,2015,-,-,-,-,Mitsui Engineering & Shipbuilding Company Limited (Tamano),16000,21456,6S70ME-C8.2,U.K. Mutual Steam Ship Assurance Association (Bermuda) Ltd,American Bureau,China Classification,-,2020-08-05T00:00:00,-,2020-08-05T00:00:00,2020-08-05T00:00:00,-,-,MOL Global Ship Management Private Limited,Republic of Singapore,MOL Global Ship Management Private Limited,Republic of Singapore,-,-,A,03 Aug 2025 06:06:53 GMT,-,MOL (Europe Africa) Limited,United Kingdom,"5° 9' 3"" N","115° 17' 17"" E",1,"1 day, 7 hours"
